682057.467202,3111643.22685
682057.39848,3111643.30817
682057.329663,3111643.38956
682057.260863,3111643.47112
682057.192061,3111643.55261
682057.123187,3111643.63412
682057.054222,3111643.7157
682056.9853,3111643.79743
682056.91632,3111643.87916
682056.847341,3111643.96095
682056.778403,3111644.04276
682056.709375,3111644.12473
682056.640276,3111644.20665
682056.571193,3111644.28858
682056.502079,3111644.37062
682056.433019,3111644.45278
682056.363876,3111644.53491
682056.294614,3111644.6171
682056.225313,3111644.69928
682056.156071,3111644.78157
682056.086777,3111644.86384
682056.017433,3111644.94614
682055.948014,3111645.02857
682055.878553,3111645.11093
682055.809071,3111645.19328
682055.739601,3111645.27566
682055.670091,3111645.35828
682055.60052,3111645.44079
682055.530998,3111645.52337
682055.461481,3111645.60604
682055.391852,3111645.68877
682055.322178,3111645.77156
682055.252544,3111645.85435
682055.182949,3111645.93725
682055.113285,3111646.02018
682055.0435,3111646.10327
682054.973824,3111646.18624
682054.90421,3111646.26921
682054.834569,3111646.3523
682054.764892,3111646.43547
682054.695097,3111646.51859
682054.625286,3111646.60173
682054.555506,3111646.68487
682054.485698,3111646.76821
682054.415714,3111646.85149
682054.34571,3111646.93477
682054.27574,3111647.01806
682054.205767,3111647.1015
682054.135647,3111647.18494
682054.065489,3111647.26837
682053.99532,3111647.35185
682053.925158,3111647.43546
682053.854914,3111647.51904
682053.784679,3111647.60265
682053.714441,3111647.68632
682053.64409,3111647.77013
682053.5737,3111647.85389
682053.503332,3111647.93768
682053.432981,3111648.02154
682053.362585,3111648.10554
682053.29206,3111648.18951
682053.221594,3111648.27347
682053.15114,3111648.35752
682053.080658,3111648.44173
682053.010051,3111648.52587
682052.93937,3111648.6101
682052.868793,3111648.6943
682052.798284,3111648.77863
682052.727634,3111648.86297
682052.656904,3111648.94741
682052.586114,3111649.03183
682052.515474,3111649.11631
682052.444693,3111649.20086
682052.373889,3111649.28541
682052.303039,3111649.37003
682052.232225,3111649.45473
682052.161307,3111649.53941
682052.090403,3111649.62413
682052.019511,3111649.70891
682051.948586,3111649.7938
682051.877634,3111649.87864
682051.806649,3111649.96355
682051.735548,3111650.04855
682051.664577,3111650.13356
682051.593454,3111650.21864
682051.52232,3111650.30377
682051.451175,3111650.38891
682051.380098,3111650.47413
682051.308881,3111650.55937
682051.237587,3111650.64465
682051.237587,3111650.64465
682051.095136,3111650.81535
682051.023816,3111650.90076
682050.952399,3111650.98622
682050.880908,3111651.07165
682050.809586,3111651.15718
682050.738185,3111651.24274
682050.666675,3111651.32842
682050.595115,3111651.41402
682050.523634,3111651.49967
682050.452066,3111651.58542
682050.380496,3111651.67118
682050.308845,3111651.75699
682050.237237,3111651.84285
682050.165524,3111651.92874
682050.093714,3111652.01469
682050.021914,3111652.10063
682049.950276,3111652.18667
682049.878421,3111652.27278
682049.806499,3111652.3589
682049.734566,3111652.44501
682049.662764,3111652.53118
682049.590777,3111652.61745
682049.518733,3111652.70374
682049.44676,3111652.79
682049.374763,3111652.87643
682049.302649,3111652.96285
682049.230512,3111653.04927
682049.158401,3111653.1357
682049.086338,3111653.22233
682049.014089,3111653.30892
682048.941785,3111653.39554
682048.869679,3111653.48219
682048.79742,3111653.5689
682048.725091,3111653.65566
682048.65271,3111653.74245
682048.580315,3111653.82928
682048.508016,3111653.91615
682048.435583,3111654.00306
682048.363137,3111654.09
682048.290606,3111654.17704
682048.2181,3111654.26416
682048.145512,3111654.35126
682048.072961,3111654.43837
682048.000408,3111654.52556
682047.92781,3111654.61288
682047.855024,3111654.70023
682047.782165,3111654.78757
682047.709236,3111654.87503
682047.636185,3111654.96255
682047.563189,3111655.05004
682047.490165,3111655.13761
682047.417105,3111655.22524
682047.34393,3111655.31295
682047.270802,3111655.40059
682047.197658,3111655.48828
682047.124496,3111655.57605
